Timestamp,Year of Study,Department,Gender,1. Difficulty Falling Asleep,2. Avg Sleep Hours,3. Waking at Night,4. Sleep Quality,5. Concentration Issues,6. Daytime Fatigue,7. Classes Missed (per week),8. Assignment Impact,9. Screen Time Before Bed,10. Caffeine Use,11. Physical Activity,12. Stress Level,13. Academic Performance
"15/4/2026, 9:41:15 am",second year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),average,often,sometimes,always,major impact,every night,every day,sometimes (3-4 times a week),no stress,average
"15/4/2026, 9:41:20 am",fourth year,cse,male,often (5-6 times a week),6-7 hours,rarely (1-2 times a week),good,rarely,often,often (3-4 times a week),moderate impact,never,never,rarely (1-2 times a week),high stress,average
"15/4/2026, 9:41:28 am",second year,cse,male,never,less than 4 hours,often (5-6 times a week),average,sometimes,always,sometimes (1-2 times a week),moderate impact,every night,never,sometimes (3-4 times a week),low stress,below average
"15/4/2026, 9:41:30 am",second year,cse,female,rarely (1-2 times a week),6-7 hours,often (5-6 times a week),poor,sometimes,sometimes,rarely (1-2 times a month),minor impact,every night,every day,rarely (1-2 times a week),high stress,average
"15/4/2026, 9:41:32 am",second year,cse,male,never,5-6 hours,sometimes (3-4 times a week),average,never,rarely,often (3-4 times a week),moderate impact,rarely (1-2 times a week),often (5-6 times a week),rarely (1-2 times a week),no stress,good
"15/4/2026, 9:41:37 am",second year,other,male,rarely (1-2 times a week),less than 4 hours,rarely (1-2 times a week),poor,often,sometimes,never,moderate impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),no stress,good
"15/4/2026, 9:41:43 am",second year,cse,female,never,5-6 hours,rarely (1-2 times a week),average,rarely,sometimes,often (3-4 times a week),minor impact,sometimes (3-4 times a week),sometimes (3-4 times a week),rarely (1-2 times a week),high stress,average
"15/4/2026, 9:41:49 am",second year,mechanical,male,often (5-6 times a week),5-6 hours,often (5-6 times a week),average,always,often,rarely (1-2 times a month),moderate impact,often (5-6 times a week),never,sometimes (3-4 times a week),high stress,below average
"15/4/2026, 9:41:51 am",second year,mechanical,male,never,6-7 hours,sometimes (3-4 times a week),good,rarely,rarely,rarely (1-2 times a month),moderate impact,every night,sometimes (3-4 times a week),never,extremely high stress,average
"15/4/2026, 9:41:55 am",second year,cse,male,rarely (1-2 times a week),7-8 hours,sometimes (3-4 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),never,sometimes (3-4 times a week),high stress,good
"15/4/2026, 9:42:04 am",second year,cse,male,never,6-7 hours,often (5-6 times a week),average,sometimes,sometimes,sometimes (1-2 times a week),moderate impact,every night,never,every day,low stress,good
"15/4/2026, 9:42:09 am",first year,eee,female,rarely (1-2 times a week),less than 4 hours,often (5-6 times a week),average,rarely,often,sometimes (1-2 times a week),moderate impact,rarely (1-2 times a week),never,rarely (1-2 times a week),low stress,excellent
"15/4/2026, 9:42:09 am",second year,eee,male,sometimes (3-4 times a week),less than 4 hours,often (5-6 times a week),good,sometimes,rarely,rarely (1-2 times a month),moderate impact,rarely (1-2 times a week),never,often (5-6 times a week),high stress,below average
"15/4/2026, 9:42:13 am",first year,cse,female,rarely (1-2 times a week),less than 4 hours,often (5-6 times a week),good,sometimes,sometimes,always,minor impact,every night,every day,sometimes (3-4 times a week),low stress,average
"15/4/2026, 9:42:18 am",second year,ece,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),good,always,sometimes,rarely (1-2 times a month),minor impact,every night,never,never,no stress,average
"15/4/2026, 9:42:20 am",first year,ece,female,rarely (1-2 times a week),6-7 hours,every night,average,often,often,sometimes (1-2 times a week),major impact,rarely (1-2 times a week),never,sometimes (3-4 times a week),low stress,good
"15/4/2026, 9:42:34 am",first year,eee,female,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),good,sometimes,often,rarely (1-2 times a month),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),never,no stress,average
"15/4/2026, 9:42:35 am",second year,cse,female,sometimes (3-4 times a week),6-7 hours,rarely (1-2 times a week),poor,sometimes,rarely,rarely (1-2 times a month),moderate impact,every night,never,rarely (1-2 times a week),extremely high stress,average
"15/4/2026, 9:42:58 am",fourth year,ece,male,sometimes (3-4 times a week),5-6 hours,sometimes (3-4 times a week),good,never,often,sometimes (1-2 times a week),moderate impact,rarely (1-2 times a week),rarely (1-2 times a week),sometimes (3-4 times a week),low stress,excellent
"15/4/2026, 9:43:03 am",second year,cse,male,never,5-6 hours,often (5-6 times a week),average,sometimes,sometimes,never,moderate impact,every night,sometimes (3-4 times a week),often (5-6 times a week),high stress,average
"15/4/2026, 9:43:04 am",second year,ece,male,sometimes (3-4 times a week),6-7 hours,often (5-6 times a week),poor,sometimes,often,always,moderate impact,sometimes (3-4 times a week),every day,sometimes (3-4 times a week),high stress,below average
"15/4/2026, 9:43:19 am",second year,cse,male,rarely (1-2 times a week),5-6 hours,often (5-6 times a week),poor,often,sometimes,sometimes (1-2 times a week),minor impact,every night,often (5-6 times a week),every day,low stress,average
"15/4/2026, 9:43:28 am",second year,civil,female,rarely (1-2 times a week),5-6 hours,rarely (1-2 times a week),good,sometimes,never,never,minor impact,every night,rarely (1-2 times a week),rarely (1-2 times a week),high stress,below average
