Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night? ,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 17:31:18,third year,female,every night,more than 8 hours,often (5-6 times a week),good,sometimes,often,sometimes (1-2 times a week),major impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,average
10/24/2024 17:31:43,third year,male,every night,more than 8 hours,every night,poor,sometimes,sometimes,always,major impact,sometimes (3-4 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,average
10/24/2024 17:32:11,second year,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),good,sometimes,sometimes,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),low stress,below average
10/24/2024 17:32:36,third year,female,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),good,often,rarely,often (3-4 times a week),major impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),high stress,average
10/24/2024 17:36:59,third year,female,often (5-6 times a week),7-8 hours,every night,very good,often,always,sometimes (1-2 times a week),moderate impact,rarely (1-2 times a week),rarely (1-2 times a week),often (5-6 times a week),low stress,average
10/24/2024 17:37:27,third year,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),very poor,sometimes,often,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,below average
10/24/2024 17:38:22,third year,female,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),good,often,sometimes,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),every day,extremely high stress,below average
10/24/2024 17:42:05,third year,female,sometimes (3-4 times a week),less than 4 hours,every night,very good,always,often,often (3-4 times a week),major impact,often (5-6 times a week),every day,every day,extremely high stress,poor
10/24/2024 17:44:40,second year,female,every night,more than 8 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),moderate impact,often (5-6 times a week),sometimes (3-4 times a week),often (5-6 times a week),low stress,poor
10/24/2024 17:45:17,third year,male,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),good,often,often,often (3-4 times a week),moderate impact,often (5-6 times a week),often (5-6 times a week),sometimes (3-4 times a week),extremely high stress,poor
10/24/2024 17:45:42,third year,male,sometimes (3-4 times a week),7-8 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),severe impact,sometimes (3-4 times a week),often (5-6 times a week),often (5-6 times a week),extremely high stress,poor
10/24/2024 17:50:09,third year,male,often (5-6 times a week),7-8 hours,often (5-6 times a week),average,often,often,often (3-4 times a week),moderate impact,sometimes (3-4 times a week),sometimes (3-4 times a week),sometimes (3-4 times a week),low stress,poor
10/24/2024 17:50:35,third year,female,every night,more than 8 hours,every night,average,often,often,always,major impact,every night,sometimes (3-4 times a week),often (5-6 times a week),low stress,poor
10/24/2024 17:50:59,second year,male,often (5-6 times a week),7-8 hours,sometimes (3-4 times a week),average,often,sometimes,often (3-4 times a week),major impact,sometimes (3-4 times a week),often (5-6 times a week),sometimes (3-4 times a week),high stress,poor
10/24/2024 17:53:05,third year,male,often (5-6 times a week),more than 8 hours,often (5-6 times a week),good,sometimes,sometimes,often (3-4 times a week),major impact,often (5-6 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
10/24/2024 17:53:28,third year,female,often (5-6 times a week),7-8 hours,often (5-6 times a week),average,often,often,sometimes (1-2 times a week),major impact,sometimes (3-4 times a week),often (5-6 times a week),often (5-6 times a week),high stress,poor
